player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s_gk,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk
Mike Maignan,fr FRA,GK,Lille,24,1995,2.0,2.0,180.0,1.0,0.5,3.0,2.0,0.667,1.0,1.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.9,0.29,-0.1,-0.14,4.0,20.0,20.0,25.0,6.0,48.0,43.2,9.0,88.9,72.6,7.0,1.0,14.3,0.0,0.0,12.8
Steve Mandanda,fr FRA,GK,Marseille,35,1985,1.0,1.0,90.0,2.0,2.0,4.0,2.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Edouard Mendy,sn SEN,GK,Rennes,28,1992,1.0,1.0,90.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6,0.56,-0.4,-0.44,7.0,12.0,58.3,23.0,2.0,43.5,37.9,6.0,33.3,35.2,6.0,1.0,16.7,0.0,0.0,10.0
Jessy Moulin,fr FRA,GK,Saint-Étienne,34,1986,1.0,1.0,90.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paul Nardi,fr FRA,GK,Lorient,26,1994,2.0,2.0,180.0,3.0,1.5,6.0,3.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.6,0.65,-0.4,-0.35,2.0,6.0,33.3,17.0,4.0,17.6,29.1,6.0,50.0,44.0,5.0,0.0,0.0,1.0,1.0,12.4
Jonas Omlin,ch SUI,GK,Montpellier,26,1994,1.0,1.0,90.0,2.0,2.0,7.0,5.0,0.714,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.4,0.34,1.4,1.41,10.0,23.0,43.5,27.0,6.0,63.0,45.9,7.0,85.7,58.0,5.0,1.0,20.0,2.0,2.0,16.1
Alexandre Oukidja,dz ALG,GK,Metz,32,1988,1.0,1.0,90.0,1.0,1.0,2.0,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Predrag Rajković,rs SRB,GK,Reims,24,1995,2.0,2.0,180.0,3.0,1.5,8.0,5.0,0.625,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.2,0.24,-0.8,-0.82,10.0,26.0,38.5,20.0,2.0,60.0,48.8,18.0,77.8,56.2,17.0,0.0,0.0,0.0,0.0,13.8
Baptiste Reynet,fr FRA,GK,Nîmes,29,1990,2.0,2.0,180.0,2.0,1.0,7.0,6.0,0.857,1.0,0.0,1.0,1.0,50.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2,0.07,0.2,0.2,10.0,27.0,37.0,35.0,4.0,60.0,51.6,7.0,85.7,61.7,5.0,0.0,0.0,0.0,0.0,13.3
Romain Salin,fr FRA,GK,Rennes,36,1984,1.0,1.0,90.0,1.0,1.0,3.0,2.0,0.667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.05,-0.8,-0.85,8.0,17.0,47.1,22.0,4.0,45.5,36.5,13.0,53.8,44.3,9.0,0.0,0.0,2.0,2.0,23.7
