player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s_gk,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk
Mattia Perin,it ITA,GK,Genoa,26,1992,21.0,21.0,1890.0,38.0,1.81,99.0,63.0,0.626,8.0,4.0,9.0,5.0,23.8,2.0,1.0,0.0,1.0,21.0,1.0,4.0,1.0,37.1,0.36,0.1,0.0,146.0,408.0,35.8,546.0,93.0,56.8,44.6,189.0,51.9,44.1,213.0,11.0,5.2,8.0,0.38,12.3
Pavao Pervan,at AUT,GK,Wolfsburg,31,1987,8.0,8.0,720.0,8.0,1.0,36.0,29.0,0.806,2.0,4.0,2.0,3.0,37.5,1.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,9.2,0.25,1.2,0.15,54.0,134.0,40.3,205.0,38.0,49.3,39.9,62.0,53.2,46.2,73.0,3.0,4.1,6.0,0.75,15.0
Danijel Petković,me MNE,GK,Angers,26,1993,2.0,2.0,180.0,1.0,0.5,7.0,6.0,0.857,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.4,0.21,0.4,0.22,13.0,28.0,46.4,35.0,10.0,45.7,38.7,19.0,63.2,51.1,30.0,2.0,6.7,1.0,0.5,13.4
Denis Petrić,rs SRB,GK,Nantes,31,1988,1.0,1.0,90.0,2.0,2.0,6.0,4.0,0.667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.1,0.51,1.1,1.06,3.0,14.0,21.4,9.0,2.0,77.8,51.4,11.0,63.6,49.8,9.0,0.0,0.0,0.0,0.0,12.5
Jordan Pickford,eng ENG,GK,Everton,25,1994,38.0,38.0,3420.0,56.0,1.47,145.0,95.0,0.634,13.0,10.0,15.0,9.0,23.7,4.0,3.0,0.0,1.0,38.0,3.0,6.0,3.0,48.7,0.32,-4.3,-0.11,313.0,784.0,39.9,1100.0,179.0,55.6,45.8,273.0,63.0,53.4,315.0,25.0,7.9,23.0,0.61,14.6
Carlo Pinsoglio,it ITA,GK,Juventus,29,1990,1.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,0.0,0.0,21.0,2.0,50.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
Nick Pope,eng ENG,GK,Burnley,27,1992,38.0,38.0,3420.0,50.0,1.32,159.0,112.0,0.711,15.0,9.0,14.0,15.0,39.5,5.0,4.0,1.0,0.0,38.0,0.0,8.0,1.0,47.2,0.27,-1.8,-0.05,285.0,916.0,31.1,875.0,168.0,73.0,54.4,305.0,90.8,69.9,373.0,53.0,14.2,35.0,0.92,16.5
Ionuț Radu,ro ROU,GK,Genoa,22,1997,17.0,17.0,1530.0,35.0,2.06,89.0,61.0,0.674,2.0,5.0,10.0,2.0,11.8,7.0,6.0,0.0,1.0,17.0,2.0,4.0,1.0,32.0,0.31,-2.0,-0.12,89.0,206.0,43.2,506.0,85.0,35.0,34.2,153.0,19.0,27.9,179.0,9.0,5.0,4.0,0.24,11.5
Boris Radunović,rs SRB,GK,Hellas Verona,23,1996,3.0,3.0,270.0,8.0,2.67,13.0,7.0,0.538,1.0,0.0,2.0,1.0,33.3,2.0,2.0,0.0,0.0,3.0,1.0,3.0,0.0,6.8,0.38,-1.2,-0.41,14.0,37.0,37.8,47.0,10.0,51.1,40.7,14.0,92.9,64.5,14.0,1.0,7.1,0.0,0.0,13.8
Rafael,br BRA,GK,Cagliari,37,1982,6.0,5.0,454.0,11.0,2.18,15.0,6.0,0.4,1.0,1.0,3.0,0.0,0.0,3.0,2.0,0.0,1.0,5.0,0.0,0.0,0.0,9.4,0.5,-1.6,-0.33,35.0,79.0,44.3,106.0,16.0,58.5,41.8,47.0,36.2,35.8,70.0,5.0,7.1,2.0,0.4,12.0
Predrag Rajković,rs SRB,GK,Reims,23,1995,27.0,27.0,2430.0,18.0,0.67,84.0,65.0,0.798,10.0,11.0,6.0,12.0,44.4,5.0,1.0,3.0,1.0,27.0,1.0,2.0,0.0,26.8,0.27,8.8,0.32,142.0,391.0,36.3,796.0,119.0,35.6,36.4,202.0,53.5,45.0,257.0,26.0,10.1,16.0,0.59,14.0
Aaron Ramsdale,eng ENG,GK,Bournemouth,21,1998,37.0,37.0,3330.0,62.0,1.68,177.0,120.0,0.678,9.0,7.0,21.0,5.0,13.5,6.0,5.0,1.0,0.0,37.0,4.0,5.0,0.0,61.7,0.32,-0.3,-0.01,199.0,655.0,30.4,835.0,184.0,53.7,44.8,289.0,71.6,58.9,321.0,20.0,6.2,17.0,0.46,14.2
Darren Randolph,ie IRL,GK,West Ham,32,1987,2.0,2.0,180.0,5.0,2.5,9.0,5.0,0.556,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,4.5,0.39,-0.5,-0.27,18.0,36.0,50.0,26.0,3.0,84.6,55.5,14.0,100.0,66.0,19.0,2.0,10.5,2.0,1.0,13.6
Manolo Reina,es ESP,GK,Mallorca,34,1985,36.0,36.0,3240.0,60.0,1.67,164.0,117.0,0.713,9.0,5.0,22.0,5.0,13.9,14.0,13.0,1.0,0.0,36.0,2.0,7.0,1.0,58.1,0.28,-0.9,-0.02,255.0,689.0,37.0,886.0,180.0,56.4,43.4,308.0,61.4,50.4,362.0,36.0,9.9,24.0,0.67,13.8
Pepe Reina,es ESP,GK,Aston Villa,36,1982,12.0,12.0,1080.0,20.0,1.67,50.0,32.0,0.64,3.0,3.0,6.0,2.0,16.7,3.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.6,0.18,0.6,0.57,11.0,21.0,52.4,30.0,6.0,53.3,39.7,7.0,71.4,50.7,11.0,2.0,18.2,2.0,2.0,19.6
Pepe Reina,es ESP,GK,Milan,36,1982,2.0,2.0,90.0,1.0,1.0,5.0,4.0,0.8,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,12.0,0.0,3.0,0.0,18.6,0.33,-1.4,-0.12,113.0,229.0,49.3,302.0,47.0,54.3,42.4,93.0,69.9,49.3,110.0,7.0,6.4,8.0,0.67,15.3
Álex Remiro,es ESP,GK,Real Sociedad,24,1995,25.0,25.0,2250.0,32.0,1.28,87.0,62.0,0.713,11.0,4.0,10.0,6.0,24.0,8.0,7.0,1.0,0.0,25.0,2.0,3.0,0.0,28.4,0.25,-3.6,-0.14,171.0,388.0,44.1,767.0,80.0,37.4,36.3,143.0,70.6,54.2,189.0,11.0,5.8,22.0,0.88,17.4
Baptiste Reynet,fr FRA,GK,Toulouse,28,1990,23.0,22.0,2034.0,49.0,2.17,112.0,67.0,0.589,3.0,3.0,16.0,2.0,9.1,5.0,3.0,2.0,0.0,22.6,1.0,3.0,1.0,41.1,0.33,-6.9,-0.31,197.0,516.0,38.2,618.0,80.0,57.3,43.7,227.0,71.4,52.2,248.0,16.0,6.5,24.0,1.06,16.1
Sergio Rico,es ESP,GK,Paris S-G,25,1993,2.0,2.0,180.0,4.0,2.0,11.0,7.0,0.636,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.1,0.28,-0.9,-0.45,1.0,10.0,10.0,35.0,6.0,17.1,25.4,14.0,28.6,29.4,18.0,2.0,11.1,2.0,1.0,18.7
Roberto,es ESP,GK,West Ham,33,1986,8.0,7.0,687.0,17.0,2.23,51.0,36.0,0.686,0.0,1.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,7.6,1.0,3.0,1.0,16.2,0.3,0.2,0.02,49.0,167.0,29.3,192.0,26.0,67.2,49.0,40.0,95.0,66.0,59.0,3.0,5.1,5.0,0.66,13.1
Roberto,es ESP,GK,Alavés,33,1986,9.0,8.0,790.0,19.0,2.16,51.0,35.0,0.686,2.0,1.0,5.0,2.0,25.0,3.0,3.0,0.0,0.0,8.8,0.0,1.0,0.0,20.9,0.36,1.9,0.21,87.0,201.0,43.3,169.0,9.0,81.1,58.2,69.0,92.8,67.9,75.0,4.0,5.3,6.0,0.68,16.9
Joel Robles,es ESP,GK,Betis,29,1990,33.0,33.0,2887.0,48.0,1.5,118.0,80.0,0.686,9.0,11.0,13.0,5.0,15.2,11.0,11.0,0.0,0.0,32.1,1.0,3.0,1.0,44.8,0.31,-2.2,-0.07,171.0,464.0,36.9,907.0,134.0,39.4,36.6,245.0,43.7,39.6,296.0,21.0,7.1,27.0,0.84,15.5
Antonio Rosati,it ITA,GK,Torino,36,1983,1.0,1.0,90.0,1.0,1.0,5.0,4.0,0.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7,0.15,-0.3,-0.26,12.0,21.0,57.1,22.0,6.0,50.0,32.7,15.0,66.7,40.9,7.0,0.0,0.0,0.0,0.0,10.0
Francesco Rossi,it ITA,GK,Atalanta,28,1991,1.0,0.0,11.0,1.0,8.18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.8,0.79,-0.2,-1.76,1.0,1.0,100.0,3.0,1.0,33.3,26.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
Rubén,es ESP,GK,Osasuna,35,1984,19.0,18.0,1583.0,24.0,1.36,51.0,29.0,0.588,5.0,9.0,4.0,5.0,27.8,3.0,3.0,0.0,0.0,17.6,1.0,1.0,0.0,19.3,0.34,-4.7,-0.27,150.0,404.0,37.1,382.0,60.0,73.6,52.7,143.0,86.0,61.9,167.0,12.0,7.2,7.0,0.4,13.8
Stéphane Ruffier,fr FRA,GK,Saint-Étienne,32,1986,22.0,22.0,1980.0,40.0,1.82,94.0,56.0,0.606,6.0,4.0,12.0,3.0,13.6,4.0,3.0,0.0,1.0,22.0,0.0,2.0,0.0,34.4,0.34,-5.6,-0.26,120.0,324.0,37.0,457.0,71.0,48.8,39.5,160.0,63.1,46.6,152.0,6.0,3.9,8.0,0.36,12.6
Gerónimo Rulli,ar ARG,GK,Montpellier,27,1992,25.0,25.0,2250.0,27.0,1.08,112.0,89.0,0.786,11.0,7.0,7.0,8.0,32.0,5.0,3.0,1.0,1.0,25.0,1.0,2.0,1.0,27.4,0.21,1.4,0.06,221.0,419.0,52.7,680.0,148.0,42.4,37.5,203.0,64.5,49.1,227.0,20.0,8.8,26.0,1.04,16.2
Mathew Ryan,au AUS,GK,Brighton,27,1992,38.0,38.0,3420.0,54.0,1.42,164.0,114.0,0.683,9.0,14.0,15.0,9.0,23.7,2.0,2.0,0.0,0.0,38.0,0.0,8.0,3.0,54.5,0.32,3.5,0.09,272.0,527.0,51.6,1188.0,232.0,33.8,33.8,274.0,45.6,38.7,314.0,24.0,7.6,19.0,0.5,13.9
Frederik Rønnow,dk DEN,GK,Eint Frankfurt,26,1992,9.0,9.0,810.0,14.0,1.56,47.0,35.0,0.745,2.0,3.0,4.0,1.0,11.1,2.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,15.7,0.3,1.7,0.19,89.0,187.0,47.6,282.0,38.0,53.2,40.7,62.0,59.7,46.0,72.0,5.0,6.9,4.0,0.44,13.9
Romain Salin,fr FRA,GK,Rennes,35,1984,5.0,4.0,360.0,5.0,1.25,18.0,13.0,0.722,2.0,0.0,2.0,2.0,50.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,5.6,0.26,0.6,0.15,34.0,67.0,50.7,93.0,22.0,41.9,37.8,37.0,75.7,51.5,63.0,5.0,7.9,2.0,0.5,13.5
Kasper Schmeichel,dk DEN,GK,Leicester City,32,1986,38.0,38.0,3420.0,41.0,1.08,126.0,95.0,0.738,18.0,8.0,12.0,13.0,34.2,10.0,8.0,2.0,0.0,38.0,0.0,7.0,2.0,42.2,0.28,3.2,0.08,239.0,488.0,49.0,936.0,151.0,39.9,37.4,242.0,47.5,40.8,293.0,10.0,3.4,27.0,0.71,15.7
Markus Schubert,de GER,GK,Schalke 04,21,1998,9.0,8.0,742.0,18.0,2.18,52.0,35.0,0.692,1.0,3.0,4.0,2.0,25.0,2.0,2.0,0.0,0.0,8.2,1.0,4.0,0.0,17.8,0.32,-0.2,-0.02,55.0,177.0,31.1,257.0,29.0,52.9,42.1,60.0,68.3,51.0,89.0,6.0,6.7,5.0,0.61,12.8
Alexander Schwolow,de GER,GK,Freiburg,27,1992,24.0,24.0,2091.0,32.0,1.38,114.0,83.0,0.746,9.0,6.0,9.0,4.0,16.7,3.0,3.0,0.0,0.0,23.2,0.0,5.0,0.0,31.2,0.26,-0.8,-0.03,179.0,477.0,37.5,730.0,115.0,40.5,38.0,249.0,72.7,58.3,214.0,14.0,6.5,10.0,0.43,13.0
Matz Sels,be BEL,GK,Strasbourg,27,1992,27.0,27.0,2430.0,32.0,1.19,95.0,67.0,0.726,11.0,5.0,11.0,8.0,29.6,7.0,6.0,1.0,0.0,27.0,0.0,3.0,0.0,32.4,0.3,0.4,0.02,216.0,484.0,44.6,646.0,127.0,53.9,43.9,203.0,67.0,53.9,229.0,21.0,9.2,10.0,0.37,12.7
Luigi Sepe,it ITA,GK,Parma,28,1991,34.0,34.0,3060.0,53.0,1.56,184.0,134.0,0.745,13.0,6.0,15.0,5.0,14.7,9.0,6.0,3.0,0.0,34.0,1.0,10.0,0.0,53.9,0.26,0.9,0.03,276.0,562.0,49.1,809.0,114.0,51.2,41.6,329.0,45.0,35.3,391.0,12.0,3.1,8.0,0.24,13.0
Rui Silva,pt POR,GK,Granada,25,1994,35.0,35.0,3150.0,42.0,1.2,136.0,97.0,0.721,15.0,8.0,12.0,12.0,34.3,5.0,4.0,1.0,0.0,35.0,1.0,5.0,0.0,42.3,0.28,0.3,0.01,348.0,898.0,38.8,978.0,115.0,66.6,49.2,301.0,82.1,60.4,332.0,38.0,11.4,41.0,1.17,15.9
Marco Silvestri,it ITA,GK,Hellas Verona,28,1991,35.0,35.0,3150.0,43.0,1.23,148.0,108.0,0.757,11.0,13.0,11.0,9.0,25.7,7.0,7.0,0.0,0.0,35.0,1.0,7.0,1.0,42.3,0.25,0.3,0.01,193.0,718.0,26.9,661.0,78.0,66.3,48.1,330.0,84.8,59.2,367.0,17.0,4.6,9.0,0.26,12.0
Unai Simón,es ESP,GK,Athletic Club,22,1997,34.0,34.0,2991.0,29.0,0.87,103.0,78.0,0.767,13.0,9.0,12.0,12.0,35.3,7.0,5.0,0.0,2.0,33.2,1.0,3.0,2.0,36.8,0.32,9.8,0.29,319.0,761.0,41.9,839.0,140.0,61.7,47.2,268.0,90.7,66.4,343.0,23.0,6.7,18.0,0.54,14.3
Salvatore Sirigu,it ITA,GK,Torino,32,1987,36.0,36.0,3240.0,64.0,1.78,189.0,135.0,0.709,11.0,6.0,19.0,7.0,19.4,10.0,9.0,1.0,0.0,36.0,3.0,9.0,3.0,64.9,0.31,3.9,0.11,292.0,610.0,47.9,828.0,113.0,48.1,40.0,334.0,63.5,45.2,378.0,25.0,6.6,14.0,0.39,13.3
Antonio Sivera,es ESP,GK,Alavés,22,1996,3.0,3.0,270.0,3.0,1.0,4.0,2.0,0.5,1.0,1.0,1.0,1.0,33.3,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.4,0.36,-0.6,-0.19,24.0,64.0,37.5,56.0,9.0,71.4,52.4,27.0,88.9,63.4,27.0,1.0,3.7,0.0,0.0,12.8
Łukasz Skorupski,pl POL,GK,Bologna,28,1991,37.0,37.0,3330.0,64.0,1.73,180.0,122.0,0.678,12.0,10.0,15.0,2.0,5.4,8.0,6.0,1.0,1.0,37.0,2.0,6.0,1.0,57.6,0.3,-5.4,-0.15,197.0,445.0,44.3,855.0,216.0,37.7,35.3,292.0,42.1,34.8,320.0,46.0,14.4,15.0,0.41,12.9
Dennis Smarsch,de GER,GK,Hertha BSC,20,1999,2.0,1.0,151.0,4.0,2.38,11.0,7.0,0.636,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,1.0,0.0,3.7,0.34,-0.3,-0.17,13.0,31.0,41.9,54.0,9.0,37.0,35.9,16.0,68.8,50.6,13.0,2.0,15.4,2.0,1.19,16.1
Yann Sommer,ch SUI,GK,M'Gladbach,30,1988,34.0,34.0,3060.0,40.0,1.18,152.0,110.0,0.743,20.0,5.0,9.0,7.0,20.6,2.0,1.0,1.0,0.0,34.0,1.0,3.0,0.0,44.3,0.28,4.3,0.13,230.0,486.0,47.3,1260.0,167.0,30.2,33.1,285.0,37.2,36.4,286.0,14.0,4.9,31.0,0.91,14.3
David Soria,es ESP,GK,Getafe,26,1993,38.0,38.0,3420.0,37.0,0.97,102.0,70.0,0.686,14.0,12.0,12.0,15.0,39.5,6.0,5.0,1.0,0.0,38.0,0.0,2.0,1.0,38.1,0.33,2.1,0.05,369.0,987.0,37.4,871.0,41.0,86.3,58.8,259.0,90.7,61.4,262.0,30.0,11.5,49.0,1.29,17.0
Juan Soriano,es ESP,GK,Leganés,21,1997,11.0,11.0,990.0,18.0,1.64,34.0,22.0,0.618,1.0,3.0,7.0,1.0,9.1,5.0,5.0,0.0,0.0,11.0,1.0,0.0,1.0,15.6,0.33,-1.4,-0.12,49.0,175.0,28.0,222.0,59.0,52.3,45.8,75.0,78.7,63.1,70.0,7.0,10.0,7.0,0.64,18.3
Marco Sportiello,it ITA,GK,Atalanta,27,1992,6.0,5.0,525.0,5.0,0.86,19.0,14.0,0.737,4.0,0.0,1.0,2.0,40.0,0.0,0.0,0.0,0.0,5.8,0.0,0.0,0.0,4.6,0.24,-0.4,-0.06,11.0,32.0,34.4,125.0,30.0,17.6,27.7,27.0,37.0,37.1,31.0,4.0,12.9,7.0,1.2,19.3
Jed Steer,eng ENG,GK,Aston Villa,26,1992,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,26.0,1.0,100.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0
Zack Steffen,us USA,GK,Düsseldorf,24,1995,17.0,17.0,1530.0,36.0,2.12,95.0,61.0,0.632,4.0,3.0,10.0,2.0,11.8,2.0,1.0,1.0,0.0,17.0,1.0,6.0,1.0,31.9,0.32,-3.1,-0.18,156.0,327.0,47.7,477.0,101.0,48.6,41.9,143.0,66.4,55.3,145.0,9.0,6.2,11.0,0.65,13.6
Thomas Strakosha,al ALB,GK,Lazio,24,1995,38.0,38.0,3420.0,42.0,1.11,145.0,111.0,0.759,24.0,6.0,8.0,11.0,28.9,9.0,7.0,1.0,1.0,38.0,1.0,8.0,1.0,45.6,0.27,4.6,0.12,202.0,453.0,44.6,931.0,149.0,40.7,34.5,292.0,25.3,27.2,282.0,15.0,5.3,17.0,0.45,13.9
Wojciech Szczęsny,pl POL,GK,Juventus,29,1990,29.0,29.0,2591.0,33.0,1.15,120.0,95.0,0.792,19.0,4.0,6.0,11.0,37.9,10.0,8.0,1.0,1.0,28.8,1.0,4.0,0.0,34.6,0.22,1.6,0.06,108.0,200.0,54.0,565.0,156.0,28.5,32.5,196.0,19.9,26.8,219.0,11.0,5.0,22.0,0.76,15.0
Ciprian Tătărușanu,ro ROU,GK,Lyon,33,1986,2.0,2.0,180.0,2.0,1.0,11.0,9.0,0.818,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.9,0.18,-0.1,-0.06,14.0,18.0,77.8,53.0,15.0,26.4,30.0,6.0,66.7,44.5,7.0,2.0,28.6,2.0,1.0,15.0
Marc-André ter Stegen,de GER,GK,Barcelona,27,1992,36.0,36.0,3240.0,36.0,1.0,110.0,78.0,0.727,24.0,6.0,6.0,14.0,38.9,7.0,6.0,1.0,0.0,36.0,2.0,1.0,0.0,34.8,0.27,-1.2,-0.03,205.0,338.0,60.7,1200.0,177.0,22.8,28.8,219.0,29.7,31.0,266.0,13.0,4.9,27.0,0.75,15.1
Pietro Terracciano,it ITA,GK,Fiorentina,29,1990,7.0,7.0,624.0,5.0,0.72,19.0,16.0,0.895,5.0,1.0,1.0,3.0,42.9,3.0,3.0,0.0,0.0,6.9,0.0,0.0,0.0,6.2,0.19,1.2,0.17,27.0,91.0,29.7,151.0,36.0,45.0,39.0,59.0,39.0,35.9,86.0,6.0,7.0,5.0,0.72,13.2
Demba Thiam,sn SEN,GK,SPAL,21,1998,2.0,2.0,180.0,4.0,2.0,14.0,11.0,0.786,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,3.4,0.18,-0.6,-0.29,10.0,25.0,40.0,44.0,13.0,36.4,36.1,27.0,33.3,29.6,19.0,1.0,5.3,1.0,0.5,15.2
Niclas Thiede,de GER,GK,Freiburg,20,1999,1.0,0.0,69.0,1.0,1.3,4.0,3.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,1.0,0.24,0.0,-0.04,1.0,9.0,11.1,34.0,11.0,26.5,32.1,7.0,0.0,20.4,8.0,1.0,12.5,1.0,1.3,14.9
Kevin Trapp,de GER,GK,Eint Frankfurt,29,1990,22.0,22.0,1980.0,38.0,1.73,104.0,69.0,0.644,11.0,3.0,8.0,4.0,18.2,1.0,1.0,0.0,0.0,22.0,1.0,3.0,2.0,32.0,0.3,-4.0,-0.18,181.0,403.0,44.9,794.0,90.0,42.3,37.1,145.0,46.2,41.2,168.0,17.0,10.1,21.0,0.95,15.1
Mark Travers,ie IRL,GK,Bournemouth,20,1999,1.0,1.0,90.0,3.0,3.0,5.0,2.0,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.6,0.52,-0.4,-0.39,7.0,13.0,53.8,24.0,5.0,33.3,34.5,8.0,62.5,45.4,7.0,0.0,0.0,0.0,0.0,14.9
Stefano Turati,it ITA,GK,Sassuolo,0,0,2.0,2.0,180.0,4.0,2.0,11.0,8.0,0.727,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.8,0.26,-0.2,-0.08,4.0,12.0,33.3,37.0,9.0,24.3,26.9,14.0,21.4,25.6,20.0,2.0,10.0,2.0,1.0,18.2
Samir Ujkani,xk KVX,GK,Torino,31,1988,1.0,1.0,90.0,3.0,3.0,5.0,3.0,0.6,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.7,0.35,-0.3,-0.31,8.0,14.0,57.1,43.0,2.0,30.2,33.4,9.0,11.1,25.4,9.0,0.0,0.0,1.0,1.0,18.0
Sven Ulreich,de GER,GK,Bayern Munich,30,1988,2.0,2.0,90.0,1.0,1.0,3.0,2.0,0.667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.4,0.5,0.4,0.44,7.0,13.0,53.8,42.0,5.0,26.2,28.1,10.0,20.0,25.7,10.0,1.0,10.0,1.0,1.0,12.0
Tomáš Vaclík,cz CZE,GK,Sevilla,30,1989,33.0,33.0,2925.0,31.0,0.95,96.0,68.0,0.698,15.0,12.0,6.0,14.0,42.4,3.0,2.0,1.0,0.0,32.5,3.0,3.0,1.0,25.4,0.24,-4.6,-0.14,178.0,417.0,42.7,686.0,155.0,40.1,37.3,235.0,60.4,48.1,260.0,20.0,7.7,16.0,0.49,14.0
Koke Vegas,es ESP,GK,Levante,23,1995,2.0,2.0,180.0,2.0,1.0,10.0,8.0,0.8,2.0,0.0,0.0,1.0,50.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.7,0.17,-0.3,-0.13,7.0,26.0,26.9,43.0,16.0,46.5,40.6,20.0,30.0,30.6,30.0,2.0,6.7,2.0,1.0,15.6
Mauro Vigorito,it ITA,GK,Lecce,29,1990,5.0,4.0,423.0,9.0,1.91,27.0,19.0,0.704,3.0,0.0,1.0,1.0,25.0,1.0,1.0,0.0,0.0,4.7,0.0,1.0,0.0,9.4,0.33,0.4,0.08,24.0,64.0,37.5,104.0,27.0,43.3,36.3,49.0,38.8,32.2,61.0,4.0,6.6,1.0,0.21,11.6
Iván Villar,es ESP,GK,Celta Vigo,22,1997,4.0,3.0,280.0,5.0,1.61,11.0,6.0,0.545,0.0,1.0,2.0,1.0,33.3,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,4.7,0.42,-0.3,-0.11,15.0,43.0,34.9,61.0,6.0,39.3,35.5,28.0,67.9,55.3,34.0,3.0,8.8,3.0,0.96,16.0
Felix Wiedwald,de GER,GK,Eint Frankfurt,29,1990,3.0,3.0,270.0,8.0,2.67,21.0,13.0,0.619,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,6.7,0.32,-1.3,-0.43,26.0,52.0,50.0,79.0,14.0,49.4,38.0,24.0,54.2,41.8,28.0,2.0,7.1,3.0,1.0,16.1
Yoel,es ESP,GK,Eibar,30,1988,4.0,4.0,270.0,5.0,1.67,14.0,9.0,0.643,2.0,0.0,1.0,1.0,25.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,3.8,0.21,-1.2,-0.39,38.0,80.0,47.5,69.0,6.0,82.6,59.1,24.0,95.8,72.4,29.0,1.0,3.4,3.0,1.0,13.3
Robin Zentner,de GER,GK,Mainz 05,24,1994,22.0,22.0,1935.0,40.0,1.86,113.0,75.0,0.655,8.0,2.0,12.0,3.0,13.6,2.0,1.0,1.0,0.0,21.5,0.0,6.0,1.0,37.0,0.32,-2.0,-0.1,135.0,409.0,33.0,604.0,144.0,47.4,40.8,196.0,62.8,51.6,226.0,23.0,10.2,20.0,0.93,16.2
Leopold Zingerle,de GER,GK,Paderborn 07,25,1994,28.0,28.0,2520.0,57.0,2.04,147.0,95.0,0.633,4.0,7.0,17.0,5.0,17.9,4.0,3.0,1.0,0.0,28.0,3.0,7.0,2.0,56.8,0.38,1.8,0.07,192.0,380.0,50.5,982.0,187.0,31.1,32.3,235.0,31.9,32.5,259.0,10.0,3.9,17.0,0.61,14.0
